table	column	postgres_type	draft_type	status
agent_command_results	privd_attestation_key_id	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
agent_rollouts	idempotency_key	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
approval_authority_resources	resource_type	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
approval_requests	action	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
approval_requests	resource_type	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
approval_requests	status	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
batch_operations	idempotency_key	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
certificates	csr_privd_attestation_key_id	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
commands	state	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
commands	idempotency_key	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
commands	resource_type	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
commands	resource_key	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
desired_groups	group_name	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
desired_user_policies	username	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
desired_users	username	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
identities	issuer	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
identities	subject	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
local_auth_attempts	username	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
local_credentials	username	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
node_capabilities	capability	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
node_privd_attestation_keys	key_id	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
node_privd_attestation_keys	state	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
node_sealing_keys	key_id	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
node_sessions	session_id	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
nodes	name	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
observed_groups	group_name	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
observed_user_usage	username	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
observed_user_usage	period	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
observed_users	username	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
operations	state	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
operations	idempotency_key	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
role_bindings	role_name	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
role_bindings	resource_type	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
roles	name	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
scheduler_leases	lease_name	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
secret_provider_refs	provider	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
secret_provider_refs	key_path	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
telemetry_rollups_1h	metric	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
telemetry_rollups_5m	metric	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
telemetry_samples	metric	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
upstream_sync_records	repository	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
upstream_sync_records	old_commit	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
upstream_sync_records	new_commit	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
user_policy_enforcements	username	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
user_policy_enforcements	cause	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
user_policy_mutations	username	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
user_policy_mutations	idempotency_key	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
user_usage_cursors	session_id	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
workspaces	slug	text	VARCHAR(191)	UNAPPROVED: review existing bounds and exact uniqueness
